name,role,presence,show,num_shows
 Amanda Seah,Series Visual Effects by,"            matchmove artist: Encore vfx (18 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Amanda Weir,['Series Production Management' 'Series Editorial Department'],"['            post-production supervisor (5 episodes, 2021)          '
 '            Post Production Supervisor (8 episodes, 2021)          ']",WandaVision                  (2021),35
 Amanda de Souza,Series Additional Crew,            assistant to producer (uncredited) (unknown episodes)          ,The Umbrella Academy                  (2019– ),46
 Amarilis Rodriguez,Series Art Department,            art assistant (uncredited) / art department assistant (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Amber Marie Naveira,Series Visual Effects by,"            data manager: Weta Digital (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Amber Martinez,Circus Hula Hoop Performer,unknown episodes                        ,WandaVision                  (2021),35
 Amber Michaelle Maher,Series Camera and Electrical Department,"            Video Assist Engineer Utility Los Angeles Unit (6 episodes, 2021)          ",WandaVision                  (2021),35
 Amber Midthunder,Kerry Loudermilk,"27 episodes, 2017-2019                        ",Legion                  (2017–2019),35
 Amber Neukum,Makeup Artist,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Amecia Matlock,Series Visual Effects by,"            visual effects pa (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Amelia McKinney,Series Costume and Wardrobe Department,"            key costumer (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Amelia Swedeen,Series Additional Crew,"            assistant: Steve Blackman (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Amelie Poitras,Series Visual Effects by,"['            visual effects producer: Folks (uncredited) (unknown episodes)          '
 '            visual effects producer: Folks (2 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Amie Doherty,Series Music Department,"['            orchestrator (uncredited) (unknown episodes)          '
 '            orchestrator (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Amir AboulEla,Butler,"1 episode, 2019                        ",Legion                  (2017–2019),35
 Amir Gurung,Series Visual Effects by,"            visual effects artist (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Amir Wahid Eleswy,Series Visual Effects by,"            CG Supervisor: Luma pictures (2 episodes, 2021)          ",WandaVision                  (2021),35
 Amor Owens,Parent,"1 episode, 2021                        ",WandaVision                  (2021),35
 Amos Glick,Dennis the Mailman,"6 episodes, 2021                        ",WandaVision                  (2021),35
 Amy Barber,Series Sound Department,"            foley editor / foley mixer (6 episodes, 2019)          ",Legion                  (2017–2019),35
 Amy E. Duddleston,Series Film Editing by,"            (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Amy Gavel,Series Costume and Wardrobe Department,"            assistant costume designer (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Amy K. Bostrom,Series Editorial Department,"            assistant editor (8 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Amy Lynn Tuttle,['Sister of the Razor' 'Series Stunts'],"['unknown episodes                        '
 '            Stunt Double: Lilli Birdsell / stunt performer (4 episodes, 2019)          ']",Doom Patrol                  (2019– ),37
 Amy Masterson,Series Casting Department,"            casting associate (4 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Amy Perron,Series Art Department,"            set decoration buyer (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Amy Ryan Gunson,Series Visual Effects by,"            studio production manager: Zoic Studios (10 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Amy Vincent,Series Camera and Electrical Department,"            director of photography: second unit (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Amy Wascher,Series Visual Effects by,"            visual effects coordinator (7 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Amy Wright,Series Additional Crew,"            choreographer (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 An H. Dang,Series Visual Effects by,            visual effects i/o (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Ana Aguilar,The Balladeer,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Ana González-Dorta,Series Costume and Wardrobe Department,"            set costumer (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Ana Lily Amirpour,Series Directed by,"            (1 episode, 2018)          ",Legion                  (2017–2019),35
 Ana Shepherd,Series Stunts,"            stunt rigger (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Ana Wackermann,Series Art Department,"            scenic foreman (9 episodes, 2021)          ",WandaVision                  (2021),35
 Anandhaiyappan,Series Visual Effects by,"            pipeline development td (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Andersyn West,Series Additional Crew,"            production assistant (1 episode, 2020)          ",Doom Patrol                  (2019– ),37
 Andre Brouwer,Series Art Department,            graphic illustrator (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Andre Nicolas Malouf,Series Art Department,"            props daily / set dresser / special effects technician (6 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Andre Richards,Prison Guard,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Andrea Andrade,Hairstylist,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Andrea Craven,Series Casting Department,"            extras casting (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Andrea Espinal,Series Visual Effects by,"            composite supervisor: Folks (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Andrea Flader,Series Additional Crew,"            production coordinator (9 episodes, 2021)          ",WandaVision                  (2021),35
 Andrea Hume,Series Casting Department,"            extras casting (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Andrea Sweet,Series Costume and Wardrobe Department,"            key costumer: Supersuits (1 episode, 2020)          ",Doom Patrol                  (2019– ),37
 Andreas Giesen,Series Visual Effects by,"            fx supervisor: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Andreas Schulz,Series Visual Effects by,"            matchmove artist: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Andreas Thomsen,Series Visual Effects by,"            visual effects supervisor: Ghost VFX (1 episode, 2017)          ",Legion                  (2017–2019),35
 Andrei Kovski,Series Stunts,"            stunt performer (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Andres Delia,Series Visual Effects by,"            compositor: Pixomondo (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Andres Erickson,Dannyzen #1,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Andres Felipe Grajales,Series Visual Effects by,"            digital compositor: Folks (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Andres Nino,Series Camera and Electrical Department,"            grip / c camera dolly grip (8 episodes, 2017-2018)          ",Legion                  (2017–2019),35
 Andrew Alevizos,Series Visual Effects by,"            digital compositor (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Andrew Bernstein,Series Directed by,"            (2 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Andrew Brady,Series Music Department,"['            music coordinator (uncredited) / assistant music coordinator (uncredited) (unknown episodes)          '
 '            music coordinator (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Andrew Cameron,Angry Man,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
